159.149.141.24 : [0], 84 bytes, 15.8 ms (15.8 avg, 0% loss)
159.149.141.24 : [1], 84 bytes, 10.1 ms (13.0 avg, 0% loss)
159.149.141.24 : [2], 84 bytes, 10.7 ms (12.2 avg, 0% loss)
159.149.141.24 : [3], 84 bytes, 32.8 ms (17.3 avg, 0% loss)
159.149.141.24 : [4], 84 bytes, 10.7 ms (16.0 avg, 0% loss)
159.149.141.24 : [5], 84 bytes, 10.6 ms (15.1 avg, 0% loss)
159.149.141.24 : [6], 84 bytes, 14.2 ms (15.0 avg, 0% loss)
159.149.141.24 : [7], 84 bytes, 10.9 ms (14.5 avg, 0% loss)
159.149.141.24 : [8], 84 bytes, 9.88 ms (14.0 avg, 0% loss)
159.149.141.24 : [9], 84 bytes, 10.5 ms (13.6 avg, 0% loss)
159.149.141.24 : [10], 84 bytes, 11.3 ms (13.4 avg, 0% loss)
159.149.141.24 : [11], 84 bytes, 13.3 ms (13.4 avg, 0% loss)
159.149.141.24 : [12], 84 bytes, 10.3 ms (13.1 avg, 0% loss)
159.149.141.24 : [13], 84 bytes, 10.9 ms (13.0 avg, 0% loss)
159.149.141.24 : [14], 84 bytes, 10.1 ms (12.8 avg, 0% loss)
159.149.141.24 : [15], 84 bytes, 11.0 ms (12.7 avg, 0% loss)
159.149.141.24 : [16], 84 bytes, 10.2 ms (12.5 avg, 0% loss)
159.149.141.24 : [17], 84 bytes, 9.97 ms (12.4 avg, 0% loss)
159.149.141.24 : [18], 84 bytes, 9.87 ms (12.3 avg, 0% loss)
159.149.141.24 : [19], 84 bytes, 11.2 ms (12.2 avg, 0% loss)
159.149.141.24 : [20], 84 bytes, 10.2 ms (12.1 avg, 0% loss)
159.149.141.24 : [21], 84 bytes, 10.4 ms (12.0 avg, 0% loss)
159.149.141.24 : [22], 84 bytes, 17.4 ms (12.3 avg, 0% loss)
159.149.141.24 : [23], 84 bytes, 10.9 ms (12.2 avg, 0% loss)
159.149.141.24 : [24], 84 bytes, 10.2 ms (12.1 avg, 0% loss)
159.149.141.24 : [25], 84 bytes, 11.3 ms (12.1 avg, 0% loss)
159.149.141.24 : [26], 84 bytes, 10.2 ms (12.0 avg, 0% loss)
159.149.141.24 : [27], 84 bytes, 10.2 ms (12.0 avg, 0% loss)
159.149.141.24 : [28], 84 bytes, 9.62 ms (11.9 avg, 0% loss)
159.149.141.24 : [29], 84 bytes, 11.8 ms (11.9 avg, 0% loss)
159.149.141.24 : [30], 84 bytes, 13.5 ms (11.9 avg, 0% loss)
159.149.141.24 : [31], 84 bytes, 12.5 ms (11.9 avg, 0% loss)
159.149.141.24 : [32], 84 bytes, 10.3 ms (11.9 avg, 0% loss)
159.149.141.24 : [33], 84 bytes, 11.1 ms (11.9 avg, 0% loss)
159.149.141.24 : [34], 84 bytes, 10.0 ms (11.8 avg, 0% loss)
159.149.141.24 : [35], 84 bytes, 10.7 ms (11.8 avg, 0% loss)
159.149.141.24 : [36], 84 bytes, 10.1 ms (11.7 avg, 0% loss)
159.149.141.24 : [37], 84 bytes, 10.9 ms (11.7 avg, 0% loss)
159.149.141.24 : [38], 84 bytes, 21.0 ms (12.0 avg, 0% loss)
159.149.141.24 : [39], 84 bytes, 10.1 ms (11.9 avg, 0% loss)
159.149.141.24 : [40], 84 bytes, 10.2 ms (11.9 avg, 0% loss)
159.149.141.24 : [41], 84 bytes, 10.6 ms (11.8 avg, 0% loss)
159.149.141.24 : [42], 84 bytes, 13.2 ms (11.9 avg, 0% loss)
159.149.141.24 : [43], 84 bytes, 11.5 ms (11.9 avg, 0% loss)
159.149.141.24 : [44], 84 bytes, 21.2 ms (12.1 avg, 0% loss)
159.149.141.24 : [45], 84 bytes, 10.6 ms (12.0 avg, 0% loss)
159.149.141.24 : [46], 84 bytes, 32.9 ms (12.5 avg, 0% loss)
159.149.141.24 : [47], 84 bytes, 12.0 ms (12.5 avg, 0% loss)
159.149.141.24 : [48], 84 bytes, 11.1 ms (12.4 avg, 0% loss)
159.149.141.24 : [49], 84 bytes, 10.4 ms (12.4 avg, 0% loss)

159.149.141.24 : xmt/rcv/%loss = 50/50/0%, min/avg/max = 9.62/12.4/32.9
