10.56.1.1 : [0], 84 bytes, 19.7 ms (19.7 avg, 0% loss)
10.56.1.2 : [0], 84 bytes, 0.12 ms (0.12 avg, 0% loss)
10.56.1.3 : [0], 84 bytes, 36.3 ms (36.3 avg, 0% loss)
10.56.1.5 : [0], 84 bytes, 2.47 ms (2.47 avg, 0% loss)
10.56.1.4 : [0], 84 bytes, 32.0 ms (32.0 avg, 0% loss)
10.56.1.1 : [1], 84 bytes, 16.9 ms (18.3 avg, 0% loss)
10.56.1.2 : [1], 84 bytes, 0.13 ms (0.12 avg, 0% loss)
10.56.1.3 : [1], 84 bytes, 37.0 ms (36.6 avg, 0% loss)
10.56.1.5 : [1], 84 bytes, 1.28 ms (1.87 avg, 0% loss)
10.56.1.4 : [1], 84 bytes, 32.6 ms (32.3 avg, 0% loss)
10.56.1.1 : [2], 84 bytes, 15.8 ms (17.5 avg, 0% loss)
10.56.1.2 : [2], 84 bytes, 0.09 ms (0.11 avg, 0% loss)
10.56.1.3 : [2], 84 bytes, 42.1 ms (38.5 avg, 0% loss)
10.56.1.5 : [2], 84 bytes, 2.62 ms (2.12 avg, 0% loss)
10.56.1.4 : [2], 84 bytes, 37.5 ms (34.0 avg, 0% loss)
10.56.1.1 : [3], 84 bytes, 12.9 ms (16.3 avg, 0% loss)
10.56.1.2 : [3], 84 bytes, 0.10 ms (0.11 avg, 0% loss)
10.56.1.3 : [3], 84 bytes, 44.8 ms (40.0 avg, 0% loss)
10.56.1.4 : [3], 84 bytes, 26.9 ms (32.2 avg, 0% loss)
10.56.1.5 : [3], 84 bytes, 2.17 ms (2.13 avg, 0% loss)
10.56.1.1 : [4], 84 bytes, 15.9 ms (16.2 avg, 0% loss)
10.56.1.2 : [4], 84 bytes, 0.07 ms (0.10 avg, 0% loss)
10.56.1.3 : [4], 84 bytes, 39.3 ms (39.9 avg, 0% loss)
10.56.1.5 : [4], 84 bytes, 1.50 ms (2.00 avg, 0% loss)
10.56.1.4 : [4], 84 bytes, 29.4 ms (31.7 avg, 0% loss)
10.56.1.1 : [5], 84 bytes, 17.7 ms (16.5 avg, 0% loss)
10.56.1.2 : [5], 84 bytes, 0.12 ms (0.10 avg, 0% loss)
